英日TAT200
名詞,動詞,助動詞,形容詞,副詞,前置詞,接続詞,熟語,,
一般,,
accuracy,正確さ，精度,名詞
activate,活性化する,動詞
actual,実際の,形容詞
acute,鋭い，激しい,形容詞
addition,加算,名詞
affect,～に影響を与える,動詞
amplify,増幅する，拡大[拡張]する,動詞
apply,適用する，応用する,動詞
approximately,おおよそ,副詞
artificial,人工の,形容詞
assemble,集める，組み立てる,動詞
asymmetry,非対称,名詞
automatic,自動式の,形容詞
be compatible with,～と共存[共用]できる,熟語
be composed of,～から成り立つ，構成される,熟語
be connected to,～と関係がある,熟語
be equipped with,～を装備[搭載]している,熟語
be equivalent to,～と同等である，対応する,熟語
be exposed to,～にさらされる,熟語
be made from/of/ up of,～からできている,熟語
be proportional to,～に比例した，釣り合った,熟語
be subject to,～の影響を受ける,熟語
be superor to,～よりも優れている,熟語
bind A with B,AをBで結ぶ,熟語
calculate,計算する,動詞
capital,主要な,形容詞
change A (in_)to B,AをBに変える,熟語
charge,課す，負わせる，[充電する],動詞
chemical,化学の,形容詞
circulation,循環,名詞
circumstance,状況，環境,名詞
combustion,燃焼,名詞
communication,伝えること[通信，伝達，連絡],名詞
compare A with/ to B,AとBとを比較する,熟語
component,構成要素，成分,名詞
compress,押しつける[圧縮，詰め込む],動詞
computation,計算，コンピュータ操作,名詞
condense,凝縮[圧縮]する,動詞
conduct,導く[誘導，伝導，管理]する,動詞
conservation,保存,名詞
consist of,～から成り立っている,熟語
constant,不変の，一定の,形容詞
construct,構成する，組み立てる,動詞
control,制御する,動詞
controversial,議論の余地がある,形容詞
correction,修正，補正,名詞
culminate,結果的に～になる,動詞
cumulative,累積的な,形容詞
decompose,分解する,動詞
decrease,減少する,動詞
decrease,減少,名詞
defective,欠陥のある，不完全な,形容詞
degrade,落とす，減らす，退化させる,動詞
demand,需要，要求,名詞
demand,要求する,動詞
density,密度,名詞
depict,描く，叙述する,動詞
deplete,使い果たす，激減させる,動詞
detect,見つける[検知，探知する],動詞
develop,開発，進展，展開する,動詞
device,装置,名詞
differentiate A from B,AをBと区別する,熟語
digital,デジタルの,形容詞
dimension,大きさ，特性，要因，次元,名詞
direction,方向,名詞
discharge,出す[放電，発射，排出]する,動詞
discharge,放電，発射，排出物,名詞
display,表示する,動詞
dissolve,溶かす[溶解，融解，液化する],動詞
distinctive,明確に区別できる,形容詞
diversity,相違点，多様性,名詞
divide A into B,AをBに分ける,熟語
dominant,優勢な,形容詞
dubious,疑わしい，あいまいな,形容詞
durability,耐久性,名詞
duration,継続，持続時間,名詞
dynamic,動的な，動力の,形容詞
effect,結果，効果，効力,名詞
electromagnetic,電磁気の,形容詞
emit,放つ[放射，放出，発光する],動詞
enhance,高める，増す,動詞
equality,等しいこと[同等，均等，等式],名詞
equivalent,同等の,形容詞
evaluate,評価する,動詞
evolve,発展，展開させる,動詞
exchange A for B,AをBと交換する,熟語
execute,実行する,動詞
exhaust,排出する，使い果たす,動詞
expand,広げる[拡張，拡大，膨張する],動詞
expire,終了する，無効となる,動詞
external,外的な，無関係な,形容詞
fabricate,偽造する，組み立てる,動詞
facilities,設備，施設,名詞
factor,要因,名詞
fatal,致命的な，決定的な,形容詞
fault,欠陥,名詞
feasible,実行可能な，適した,形容詞
generalization,一般化,名詞
high performance,高性能,形容詞
horizontal,水平な,形容詞
in the ratio of a to b,a 対bの割合で,熟語
increase ,増加,名詞
increase ,増加する,動詞
indicate,指し示す,動詞
induce,誘導する，帰納する,動詞
inert,不活性の,形容詞
infinity,無限大,名詞
information,情報,名詞
initialization,初期化，初期設定,名詞
inorganic,無機の,形容詞
input,入力,名詞
inscription,記入，登録,名詞
instructions,指示，命令，使用説明書,名詞
instrument,道具[器具，器械，計器],名詞
intake,取り入れること[摂取，吸気],名詞
intensity,強度,名詞
interchange,[交換，交替]する,動詞
interface,共通領域，インターフェース,名詞
internal,内部の，本質的な,形容詞
intersect,交わる,動詞
introduce,導入する,動詞
laboratory,実験室，研究室,名詞
large-scale,大規模な,形容詞
layer,層,名詞
lengthwise,縦の,形容詞
limit,制限する，限定する,動詞
limit,制限，限定,名詞
machine,機械，装置,名詞
maintain,維持する，主張する，守る,動詞
manual,手動の,形容詞
manufacturer,製造業者，製造者,名詞
mass production,大量生産,名詞
materialize,具体[有形]化する,動詞
means,手段，方法,名詞
measurement,測定，測量，寸法,名詞
mechanics,力学，機械学，仕組み,名詞
metal,金属,名詞
mineral,鉱物,名詞
module,基本単体，モジュール,名詞
momentum,勢い，運動量,名詞
motion,運動，動作，移動,名詞
motivate,動機を与える,動詞
multivariable,多変数の,形容詞
narrow,幅が狭い,形容詞
negative,負の，陰の，消極的な，禁止の,形容詞
network,網状組織[ネットワーク，放送網],名詞
neutralization,中和，中立状態,名詞
nullify,無効にする,動詞
obscure,不明瞭な,形容詞
one half,２分の１,名詞
one quarter,４分の１,名詞
operation,作用，操作，運転，影響,名詞
optical,視力の，光学の,形容詞
orbit,軌道,名詞
organic,有機の,形容詞
paradox,逆説,名詞
parallel,平行の,形容詞
partial,部分的な,形容詞
particle,微粒子,名詞
per,～ごとに,前置詞
performance,実行，性能,名詞
period,周期，期間,名詞
physical,物理学の，身体の，自然の，物質の,形容詞
plane ,平面，水準，次元，飛行機,名詞
plant,工場，施設，植物,名詞
polish,磨く[研磨する，練る],動詞
positive reaction,陽性反応,名詞
precise,正確な，精密な,形容詞
prevention,止めること[予防，妨害，邪魔],名詞
primary,第１の[主要な，最初の],形容詞
process,過程，工程，手順,名詞
produce,生み出す[生産，製造，作る],動詞
property,特性，特質，属性,名詞
proportion,比率，割合，均衡,名詞
protect A against/from B,AをBから保護する,熟語
quality,質,名詞
quantity,量,名詞
recognize,認める[認識，識別，承認する],動詞
recur,繰り返す[再発，循環する],動詞
reduce,減らす[減少，縮小，薄める],動詞
reflect,反映[反射，反響]する,動詞
regulate,規制する,動詞
replace A with B,AをBと取り替える,熟語
resistance,抵抗，妨害,名詞
resources,資源，手段,名詞
retrieve,取り返す[回収，復旧，回復，検索する],動詞
revolve,回転，循環する,動詞
salient,顕著な，突出した,形容詞
secondary,第２の[二次的，副次的，派生的な],形容詞
separable,分離可能な,形容詞
shape A into B,AでBを形作る,熟語
spontaneous,自発的な，任意の,形容詞
stabilize,安定，固定させる,動詞
standardize,標準化，規格化する,動詞
static,静的な，固定的な,形容詞
stimulant,刺激剤，誘因,名詞
stipulate,規定する，明記する,動詞
storage,蓄え[保管（法），充電，記憶装置],名詞
